PARKING_ZONE,ZONE_CAP,SEG_CAP,ZONE_TYPE,STALL_TYPE,ADDRESS_DESC,BLOCK_SIDE,PERMIT_ZONE,STATUS,PRICE_ZONE,ENFORCEABLE_TIME,MAX_TIME,PARKING_RESTRICT_TYPE,PARKING_RESTRICT_TIME,NO_PARKING,NO_STOPPING,line,BRZ_NAME
4473,,,Parking Zone,Parallel,"4 St SW ,  Fr 15 Av SW To 17 Av SW",W,4473,Active,13,"0910-1520 MON-FRI, 0910-1750 SAT",120,PM,15:30 -18:00,,,"MULTILINESTRING ((-114.0716051 51.0384058, -114.0716049 51.0386743, -114.0716056 51.0387042))",4 Street SW
2871,,,Parking Zone,Parallel,"Memorial Dr NW ,  Fr 10 St NW To 10A St NW",N,2871,Active,17,0910-1750 MON-SAT,120,none,none,,,"MULTILINESTRING ((-114.0864153 51.0519363, -114.0862744 51.0519662, -114.0862461 51.0519708, -114.0862315 51.0519721))",Kensington / Louise Crossing
2771,,,Parking Zone,Parallel,"9 St NW ,  Fr 2 Av NW To 3 Av NW",W,2771,Active,18,0910-1750 MON-SAT,120,none,none,,,"MULTILINESTRING ((-114.0834311 51.0550582, -114.0834533 51.0550741, -114.0837193 51.0552493, -114.0838378 51.0553288, -114.0840281 51.0554537))",
2134,,,Parking Zone,Parallel,"8 Av SW ,  Fr 10 St SW To 11 St SW",N,2134,Active,7,0910-1750 MON-FRI,120,none,none,,,"MULTILINESTRING ((-114.0874151 51.0462857, -114.0872144 51.0462801, -114.0872067 51.0462803, -114.0871579 51.0462838, -114.0871476 51.0462839, -114.0869309 51.0462778))",Downtown
1498,,,Parking Zone,Parallel,"8 St SW ,  Fr 4 Av SW To 5 Av SW",E,1498,Active,6,0910-1520 MON-FRI,120,AM&PM,"07:00 - 08:30 , 15:30 - 18:00",,,"MULTILINESTRING ((-114.0809459 51.0490799, -114.0809363 51.0492164))",Downtown
1004,,,Parking Zone,Parallel,"Eau Claire Av SW ,  Fr 5 St SW To 6 St SW",N,1004,Active,5,0910-1750 MON-SAT,180,none,none,,,"MULTILINESTRING ((-114.073791 51.0525819, -114.0737806 51.0525844, -114.0737711 51.0525858, -114.0737605 51.0525867, -114.0737518 51.0525867, -114.07374 51.0525864, -114.0735607 51.0525813, -114.0735527 51.0525808, -114.0735466 51.0525802, -114.0735388 51.0525789, -114.0735313 51.0525771, -114.0735245 51.0525751, -114.073519 51.0525731, -114.0735143 51.0525711, -114.0735064 51.0525674))",Downtown
1401,,,Parking Zone,Parallel,"1 St SW ,  Fr 3 Av SW To 4 Av SW",E,1401,Active,4a,"0710-1750 MON-FRI, 0910-1750 SAT",120,none,none,,,"MULTILINESTRING ((-114.0650386 51.0500343, -114.0650516 51.0498514), (-114.0650516 51.0498514, -114.0650517 51.0498503, -114.0650536 51.0498404, -114.0650581 51.0498308, -114.0650649 51.0498218, -114.0650836 51.0498012, -114.0650914 51.0497909, -114.0650965 51.0497799, -114.0650988 51.0497686, -114.0651087 51.0496292))",Downtown
1400,,,Taxi Zone,Parallel,"1 St SW ,  Fr 3 Av SW To 4 Av SW",E,1400,Active,4a,"0710-1750 MON-FRI, 0910-1750 SAT",1440,none,none,,,"MULTILINESTRING ((-114.0650633 51.0501027, -114.0650549 51.0500924, -114.0650468 51.0500828, -114.0650402 51.0500712, -114.0650372 51.0500571, -114.0650386 51.0500343))",Downtown
1372,,,Parking Zone,Parallel,"3 St SW ,  Fr 3 Av SW To 4 Av SW",E,1372,Active,4a,"0710-1750 MON-FRI, 0910-1750 SAT",120,none,none,,,"MULTILINESTRING ((-114.0700413 51.0501132, -114.0700461 51.0500988, -114.070056 51.0500592, -114.0700607 51.0500191, -114.0700601 51.049979))",Downtown
1547,,,Parking Zone,Parallel,"3 St SW ,  Fr 4 Av SW To 5 Av SW",W,1547,Active,4a,"0710-1750 MON-FRI, 0910-1750 SAT",120,none,none,,,"MULTILINESTRING ((-114.0701771 51.0492229, -114.0701745 51.0492346, -114.0701708 51.0492577, -114.070169 51.0492735, -114.0701633 51.0493664))",Downtown
1405,,,Parking Zone,Parallel,"3 Av SE ,  Fr 1 St SE To Centre St S",S,1405,Active,3,0910-1750 MON-SAT,120,none,none,,,"MULTILINESTRING ((-114.0617162 51.0501986, -114.0619898 51.0502065))",Chinatown
1406,,,Loading Zone,Parallel,"3 Av SE ,  Fr 1 St SE To Centre St S",S,1406,Active,3,0910-1750 MON-SAT,20,none,none,,,"MULTILINESTRING ((-114.0611944 51.0501837, -114.0613725 51.0501888))",Chinatown
1407,,,Parking Zone,Parallel,"3 Av SE ,  Fr 1 St SE To Centre St S",S,1407,Active,3,0910-1750 MON-SAT,120,none,none,,,"MULTILINESTRING ((-114.0606268 51.0501726, -114.0606387 51.0501701, -114.0606512 51.0501687, -114.0606638 51.0501685, -114.0611944 51.0501837))",Chinatown
1122,,,Parking Zone,Parallel,"2 Av SE ,  Fr Centre St S To 1 St SE",N,1122,Active,3,0910-1750 MON-SAT,120,none,none,,,"MULTILINESTRING ((-114.0618971 51.0512535, -114.0618897 51.051254, -114.0618799 51.0512538, -114.0614533 51.0512418, -114.0614484 51.0512416, -114.0614403 51.0512408, -114.0614352 51.0512399, -114.0614298 51.0512385, -114.0614216 51.0512356, -114.0614127 51.0512319, -114.0614051 51.0512286))",Chinatown
1526,,,Parking Zone,Angle,"6 St SW ,  Fr 4 Av SW To 5 Av SW",E,1526,Active,4b,0910-1750 MON-FRI,120,none,none,,,"MULTILINESTRING ((-114.0759745 51.0491768, -114.0759882 51.0489926, -114.0759953 51.0489692, -114.0760216 51.0489481))",Downtown
4811,,,Parking Zone,Parallel,"4 St SW ,  Fr 21 Av SW To 22 Av SW",E,4811,Active,16,0910-1750 MON-SAT,120,AM,07:00 - 08:30,,,"MULTILINESTRING ((-114.0714228 51.0341336, -114.071423 51.0339448))",4 Street SW
2166,,,Parking Zone,Angle,"9 St SW ,  Fr 7 Av SW To 8 Av SW",E,2166,Active,6,0910-1750 MON-FRI,20,none,none,,,"MULTILINESTRING ((-114.083545 51.0469046, -114.0835398 51.0468918, -114.0835561 51.0466486, -114.0835577 51.0466372, -114.0835669 51.0466227))",Downtown
4593,,,Parking Zone,Parallel,"17 Av SW ,  Fr 9A St SW To 10 St SW",S,4593,Active,11,0910-1750 MON-SAT,120,AM,07:00 - 09:00,,,"MULTILINESTRING ((-114.0858811 51.0377687, -114.0862134 51.0377686))",Uptown 17
4615,,,Parking Zone,Parallel,"17 Av SW ,  Fr 7 St SW To 8 St SW",S,4615,Active,11,0910-1750 MON-SAT,120,AM,07:00 - 09:00,,,"MULTILINESTRING ((-114.0796081 51.0377703, -114.0803284 51.0377701, -114.0809494 51.0377699, -114.0813234 51.0377699))",Uptown 17
4623,,,Parking Zone,Parallel,"17 Av SW ,  Fr College Ln SW To 7 St SW",S,4623,Active,11,0910-1750 MON-SAT,120,AM,07:00 - 09:00,,,"MULTILINESTRING ((-114.0789989 51.0377706, -114.0791386 51.0377706))",Uptown 17
4624,,,Parking Zone,Parallel,"17 Av SW ,  Fr College Ln SW To 7 St SW",S,4624,Active,11,0910-1750 MON-SAT,30,AM,07:00 - 09:00,,,"MULTILINESTRING ((-114.0784824 51.0377704, -114.0784845 51.0377706, -114.0784995 51.0377707, -114.0788688 51.0377706))",Uptown 17
4654,,,Parking Zone,Parallel,"17 Av SW ,  Fr 2 St SW To 4 St SW",S,4654,Active,13,0910-1750 MON-SAT,120,AM,07:00 - 09:00,,,"MULTILINESTRING ((-114.0698309 51.0377732, -114.0704411 51.0377735))",
4654,,,Parking Zone,Parallel,"17 Av SW ,  Fr 2 St SW To 4 St SW",S,4654,Active,13,0910-1750 MON-SAT,120,AM,07:00 - 09:00,,,"MULTILINESTRING ((-114.0689888 51.0377732, -114.0694064 51.0377722))",
4836,,,Parking Zone,Parallel,"4 St SW ,  Fr 22 Av SW To 23 Av SW",E,4836,Active,16,0910-1750 MON-SAT,120,AM,07:00 - 08:30,,,"MULTILINESTRING ((-114.071423 51.0333013, -114.0714231 51.0332975, -114.0714229 51.0332805, -114.0714229 51.033002))",4 Street SW
3300,,,Parking Zone,Parallel,"10 St SW ,  Fr 11 Av SW To 12 Av SW",W,3300,Active,8,0910-1750 MON-SAT,540,none,none,,,"MULTILINESTRING ((-114.0865176 51.0422373, -114.0864979 51.0424932))",
1101,,,Parking Zone,Parallel,"2 St SW ,  Fr Riverfront Av SW To 2 Av SW",E,1101,Active,5,0910-1750 MON-SAT,120,none,none,,,"MULTILINESTRING ((-114.0674201 51.052132, -114.0674177 51.0521243, -114.067416 51.0521141, -114.0674158 51.0521148, -114.0674165 51.0520675))",Chinatown
4836,,,Parking Zone,Parallel,"4 St SW ,  Fr 22 Av SW To 23 Av SW",E,4836,Active,16,0910-1750 MON-SAT,120,AM,07:00 - 08:30,,,"MULTILINESTRING ((-114.0714232 51.032917, -114.0714234 51.0326378, -114.0714221 51.0326195))",4 Street SW
4820,,,Parking Zone,Parallel,"22 Av SW ,  Fr 4 St SW To 5 St SW",S,4820,Active,16,0910-1750 MON-SAT,120,none,none,,,"MULTILINESTRING ((-114.0720979 51.0333264, -114.0723668 51.033326))",4 Street SW
4844,,,Parking Zone,Parallel,"23 Av SW ,  Fr 4 St SW To 5 St SW",S,4844,Active,16,0910-1750 MON-SAT,120,none,none,,,"MULTILINESTRING ((-114.0722187 51.0324208, -114.0724647 51.0324207))",4 Street SW
4834,,,Handicapped Zone,Parallel,"23 Av SW ,  Fr 2 St SW To 4 St SW",N,4834,Active,16,0910-1750 MON-SAT,120,none,none,,,"MULTILINESTRING ((-114.0703229 51.0324924, -114.0702445 51.0324903, -114.0701177 51.0324871))",4 Street SW
4835,,,Parking Zone,Parallel,"23 Av SW ,  Fr 2 St SW To 4 St SW",N,4835,Active,16,0910-1750 MON-SAT,120,none,none,,,"MULTILINESTRING ((-114.0701177 51.0324871, -114.0699241 51.0324812, -114.0698318 51.0324795, -114.0697474 51.0324768))",4 Street SW
4835,,,Parking Zone,Parallel,"23 Av SW ,  Fr 2 St SW To 4 St SW",N,4835,Active,16,0910-1750 MON-SAT,120,none,none,,,"MULTILINESTRING ((-114.0695461 51.0324756, -114.0692606 51.0324668, -114.0690761 51.0324632))",4 Street SW
4851,,,Parking Zone,Parallel,"23 Av SW ,  Fr 2 St SW To 4 St SW",S,4851,Active,16,0910-1750 MON-SAT,120,none,none,,,"MULTILINESTRING ((-114.0712722 51.032417, -114.0712429 51.032418, -114.0709872 51.0324136))",4 Street SW
4849,,,Parking Zone,Parallel,"24 Av SW ,  Fr 4 St SW To 5 St SW",N,4849,Active,16,0910-1750 MON-SAT,120,none,none,,,"MULTILINESTRING ((-114.0720071 51.0316123, -114.0719173 51.0316126))",4 Street SW
4869,,,Parking Zone,Parallel,"24 Av SW ,  Fr 4 St SW To 5 St SW",S,4869,Active,16,0910-1750 MON-SAT,120,none,none,,,"MULTILINESTRING ((-114.0717862 51.0315413, -114.0721597 51.0315411))",4 Street SW
4869,,,Parking Zone,Parallel,"24 Av SW ,  Fr 4 St SW To 5 St SW",S,4869,Active,16,0910-1750 MON-SAT,120,none,none,,,"MULTILINESTRING ((-114.0724416 51.0315411, -114.0727453 51.031541))",4 Street SW
3332,,,Loading Zone,Parallel,"12 Av SW ,  Fr 8 St SW To 9 St SW",N,3330,Active,9,0910-1750 MON-SAT,20,none,none,,,"MULTILINESTRING ((-114.0828438 51.042021, -114.0827378 51.042018, -114.0826444 51.0420154))",Beltline
1309,,,Parking Zone,Parallel,"6 St SW ,  Fr 3 Av SW To 4 Av SW",W,1309,Active,5,0910-1750 MON-FRI,180,none,none,,,"MULTILINESTRING ((-114.0761452 51.0499481, -114.0761418 51.0500369, -114.0761339 51.0501494))",Downtown
3308,,,Loading Zone,Parallel,"11 Av SW ,  Fr 9 St SW To 10 St SW",S,3308,Active,8,"0910-1520 MON-FRI, 0910-1750 SAT",20,PM,15:30 -18:00,,,"MULTILINESTRING ((-114.0858581 51.0429621, -114.0859387 51.0429647, -114.0860428 51.0429671, -114.0861296 51.0429704, -114.0861301 51.0429704, -114.086143 51.0429706))",
4659,,,Parking Zone,Parallel,"18 Av SW ,  Fr 2 St SW To 4 St SW",N,4659,Active,13,0910-1750 MON-SAT,120,none,none,,,"MULTILINESTRING ((-114.0706402 51.0372334, -114.0704693 51.0372275))",4 Street SW
3050,,,Parking Zone,Parallel,"10 Av SW ,  Fr 8 St SW To 9 St SW",S,3050,Active,9,0910-1750 MON-FRI,120,none,none,,,"MULTILINESTRING ((-114.0817467 51.0437857, -114.0835303 51.0438354))",Beltline
1706,,,Parking Zone,Parallel,"5 Av SW ,  Fr 6 St SW To 7 St SW",S,1706,Active,4b,0910-1520 MON-FRI,120,AM&PM,"07:00 - 08:30 , 15:30 - 18:00",,,"MULTILINESTRING ((-114.0772967 51.0487262, -114.0774734 51.0487312))",Downtown
4484,,,Parking Zone,Parallel,"15 Av SW ,  Fr 2 St SW To 4 St SW",S,4484,Active,13,0910-1750 MON-SAT,180,none,none,,,"MULTILINESTRING ((-114.0704284 51.0387369, -114.0705811 51.0387412))",
