DESCRIPTION,PARKING_ZONE,STALL_TYPE,STATUS,ADDRESS_DESC,CTP_CLASS,DOT,ENFORCEABLE_TIME,NO_PARKING,NO_STOPPING,PARKING_RESTRICTION,TIME_RESTRICTION,CAMERA,OCTANT,line,GLOBALID
SCH626,NA,Parallel,Active,St Henry School,Residential Street,E,0001-2359 MON-SUN,0001-2359 MON-SUN,,NONE,NONE,FR,,"MULTILINESTRING ((-114.0811677 51.1183121, -114.0812177 51.1182978))",26d0b1fc-fa68-4b1a-a889-0e51c0fe18d3
SCH629,NA,Parallel,Active,Foundation of Future Chartered Academy NW,Residential Street,E,0001-2359 MON-SUN,0001-2359 MON-SUN,,NONE,NONE,FR,NW,"MULTILINESTRING ((-114.0779554 51.0933959, -114.0782249 51.0934189, -114.0783625 51.0934307))",2d0cede7-b3fe-4046-9da1-4c8eecd7c670
SCH638,NA,Parallel,Active,James Fowler School,Collector,E,0001-2359 MON-SUN,,0001-2359 MON-SUN,NONE,NONE,FR,NW,"MULTILINESTRING ((-114.0711347 51.0873511, -114.071166 51.0873478, -114.0711918 51.0873427, -114.0712175 51.0873372, -114.0712412 51.0873317, -114.071259 51.0873272, -114.0712814 51.0873205, -114.0713023 51.087313, -114.0713227 51.0873047, -114.0713436 51.0872957, -114.0713611 51.0872862, -114.0713801 51.0872756, -114.0714006 51.0872622))",be8f8eaf-4c13-4190-96a7-7f1445c02fa4
SCH643,NA,Parallel,Active,Cambrian Heights School,Residential Street,E,0001-2359 MON-SUN,0001-2359 MON-SUN,,NONE,NONE,FR,NW,"MULTILINESTRING ((-114.0885624 51.0847656, -114.0885651 51.0847668, -114.0885848 51.0847733, -114.0885929 51.0847754, -114.0886015 51.0847766, -114.0886128 51.084777))",c65e4d12-c9d4-4751-86d8-8773d3febcf5
SCH67,NA,Parallel,Active,Earl Grey School,Residential Street,E,0001-2359 MON-SUN,0001-2359 MON-SUN,,NONE,NONE,FR,SW,"MULTILINESTRING ((-114.0819472 51.0312214, -114.0820469 51.0312215, -114.0821227 51.0312216, -114.0822059 51.0312216, -114.0823047 51.0312219, -114.0823534 51.031222))",5488ea48-2be0-461b-81c8-4826f863f9c7
SCH672,NA,Parallel,Active,West Dover School,Collector,E,0001-2359 MON-SUN,,0001-2359 MON-SUN,NONE,NONE,FR,SE,"MULTILINESTRING ((-113.9913297 51.0268789, -113.9915183 51.0268785, -113.9915419 51.0268786, -113.9916435 51.0268787, -113.991669 51.0268776, -113.991694 51.0268742, -113.991718 51.0268686))",31843f98-fb5d-4af2-9fdb-05790495ed41
SCH674,NA,Parallel,Active,West Dover School,Collector,E,0001-2359 MON-SUN,,0001-2359 MON-SUN,NONE,NONE,FR,SE,"MULTILINESTRING ((-113.9905898 51.0268793, -113.9908423 51.0268787))",8d4f8302-bd53-4614-bfae-4a7ea666dabc
SCH686,NA,Parallel,Active,Clinton Ford Alternative School,Residential Street,E,0001-2359 MON-SUN,0001-2359 MON-SUN,,NONE,NONE,FR,SW,"MULTILINESTRING ((-114.1094556 51.0098922, -114.109467 51.0098976, -114.1094807 51.0099024, -114.1094955 51.0099059, -114.1095109 51.009908, -114.1095266 51.0099087, -114.1095965 51.0099084))",c4920573-8bc5-48a8-ad8c-7594fc26e247
SCH696,NA,Parallel,Active,Sainte Marguerite Bourgeoys School,Collector,E,0001-2359 MON-SUN,,0001-2359 MON-SUN,NONE,NONE,FR,SW,"MULTILINESTRING ((-114.1236369 51.011563, -114.1236096 51.0115702, -114.1235058 51.0115978, -114.1233943 51.0116324, -114.1233018 51.0116624, -114.1232717 51.0116722, -114.1231476 51.0117186, -114.1230537 51.0117582, -114.1229632 51.0117994, -114.1228706 51.0118456, -114.1227774 51.0118961, -114.1226775 51.0119551, -114.1225879 51.0120126, -114.1224791 51.0120881, -114.1223793 51.0121633, -114.1222775 51.0122409, -114.1221398 51.0123479, -114.1221142 51.0123685))",aa7e7bde-2cfe-4d7b-8609-0f39fc22bde1
SCH698,CFC,Parallel,Active,Clear Water School,Residential Street,E,0001-2359 MON-SUN,0001-2359 MON-SUN,,NONE,NONE,FR,SW,"MULTILINESTRING ((-114.1209018 51.0195695, -114.1209915 51.0195698))",a710a9c7-7f9a-430e-aa7f-e031e6f01616
SCH699,NA,Parallel,Active,New Heights School,Lanes (Alleys),E,0001-2359 MON-SUN,0001-2359 MON-SUN,,NONE,NONE,FR,,"MULTILINESTRING ((-114.1217892 51.0181524, -114.1218106 51.0181591, -114.1218373 51.0181597, -114.1218598 51.0181604, -114.1218918 51.0181563, -114.121941 51.0181502, -114.1220029 51.01814, -114.1220393 51.0181319, -114.1220713 51.0181204, -114.1221012 51.0181042, -114.1221343 51.0180832, -114.1221567 51.0180603, -114.1221747 51.0180313, -114.1221843 51.0179982))",d99b288e-8c9f-43f7-a599-5364dbf4a4cd
SCH705,NA,Parallel,Active,Elbow Park School,Residential Street,E,0001-2359 MON-SUN,,0001-2359 MON-SUN,NONE,NONE,FR,SW,"MULTILINESTRING ((-114.0834776 51.0200701, -114.0834833 51.02007, -114.0834892 51.0200698, -114.0834952 51.0200694, -114.083501 51.0200689, -114.0835069 51.0200683, -114.0835128 51.0200677, -114.0835186 51.0200668, -114.0835243 51.0200657, -114.0835298 51.0200643, -114.0835353 51.0200626, -114.0835406 51.0200605, -114.0835456 51.0200582, -114.08355 51.0200557, -114.083554 51.0200529, -114.0835576 51.0200498))",96461339-03c1-4e74-a4d8-c64a3544f82b
SCH706,NA,Parallel,Active,Elbow Park School,Residential Street,E,0001-2359 MON-SUN,,0001-2359 MON-SUN,NONE,NONE,FR,SW,"MULTILINESTRING ((-114.0825217 51.0200686, -114.0825267 51.0200686, -114.082651 51.0200689, -114.0827396 51.0200692, -114.0828783 51.0200694))",837c1576-e81f-490b-a5ba-cc651e3a7f9f
SCH707,NA,Parallel,Active,Elbow Park School,Residential Street,E,0001-2359 MON-SUN,,0001-2359 MON-SUN,NONE,NONE,FR,SW,"MULTILINESTRING ((-114.0821208 51.0200831, -114.0821396 51.0200831, -114.0823077 51.0200833, -114.0823249 51.0200826, -114.0823417 51.0200804, -114.082358 51.0200768))",993925d9-df8a-49be-8fb6-ae37ed44203e
SCH708,NA,Parallel,Active,Elbow Park School,Residential Street,E,0001-2359 MON-SUN,,0001-2359 MON-SUN,NONE,NONE,FR,SW,"MULTILINESTRING ((-114.0820151 51.0200738, -114.0820339 51.0200789, -114.0820539 51.020082, -114.0820744 51.0200831))",e6788221-29f6-46cf-9ac3-2deb79621ba3
SCH709,NA,Parallel,Active,Elbow Park School,Residential Street,E,0001-2359 MON-SUN,,0001-2359 MON-SUN,NONE,NONE,FR,SW,"MULTILINESTRING ((-114.0817116 51.0200692, -114.0818088 51.0200693, -114.0818237 51.0200692))",7e9438ea-08cc-4bc9-b33a-1bb8ab3ab352
SCH71,NA,Parallel,Active,Falconridge School,Residential Street,E,0001-2359 MON-SUN,0001-2359 MON-SUN,,NONE,NONE,FR,NE,"MULTILINESTRING ((-113.9444693 51.0998573, -113.9444947 51.0998613, -113.9445367 51.0998625, -113.9450321 51.0998339))",54de6914-915b-4217-8e7c-d6dc08b20da5
SCH716,FHT,Parallel,Active,Jack James High School,Collector,E,0001-2359 MON-SUN,0001-2359 MON-SUN,,NONE,NONE,FR,SE,"MULTILINESTRING ((-113.9585494 51.0450638, -113.958558 51.0450686, -113.9585848 51.0450804, -113.9586156 51.0450883, -113.9586506 51.0450965, -113.9586889 51.0451026, -113.9587237 51.0451075, -113.9587613 51.0451104, -113.9588028 51.0451125, -113.9588379 51.0451123, -113.9588966 51.0451124, -113.958979 51.0451125, -113.9589865 51.0451125, -113.9589903 51.0451125, -113.9590714 51.0451123, -113.9591851 51.0451128, -113.9592856 51.0451131, -113.9593212 51.0451132, -113.9594547 51.045113, -113.9596005 51.0451128, -113.9597838 51.0451121, -113.9598517 51.045112))",acd858d3-d08c-48f0-beb5-259f066eb3b8
SCH739,NA,Parallel,Active,Sta Isabela Elementary School,Collector,E,0001-2359 MON-SUN,0001-2359 MON-SUN,,NONE,NONE,FR,SE,"MULTILINESTRING ((-113.9358075 50.9111849, -113.9358197 50.911183, -113.935949 50.9111603, -113.9360765 50.9111336))",19020162-e0bb-49a7-9b36-d75763a9e607
